latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
27.732864,85.24719,1293.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),precipitation (mm),rain (mm),pressure_msl (hPa),surface_pressure (hPa),cloud_cover (%),vapour_pressure_deficit (kPa),wind_speed_10m (km/h),wind_direction_10m (°),wind_gusts_10m (km/h)
2022-01-01T00:00,5.3,90,3.8,0.00,0.00,1020.7,873.0,83,0.09,4.4,171,13.0
2022-01-01T01:00,5.4,88,3.6,0.00,0.00,1021.2,873.5,100,0.11,5.1,176,14.8
2022-01-01T02:00,6.8,84,4.3,0.00,0.00,1021.9,874.7,100,0.15,4.3,175,15.1
2022-01-01T03:00,9.5,80,6.2,0.00,0.00,1022.5,876.5,80,0.24,5.1,172,12.2
2022-01-01T04:00,12.9,60,5.4,0.00,0.00,1023.0,878.6,0,0.59,2.3,129,11.5
2022-01-01T05:00,14.5,57,6.2,0.00,0.00,1022.2,878.6,0,0.71,1.8,360,10.8
2022-01-01T06:00,15.3,56,6.7,0.00,0.00,1021.2,878.1,0,0.76,4.7,328,16.9
2022-01-01T07:00,15.5,59,7.4,0.00,0.00,1020.0,877.2,0,0.73,7.1,330,22.3
2022-01-01T08:00,15.3,62,7.9,0.00,0.00,1019.2,876.4,1,0.67,7.5,325,23.4
2022-01-01T09:00,14.8,63,7.9,0.00,0.00,1018.9,875.9,8,0.62,6.1,332,23.4
2022-01-01T10:00,14.2,64,7.6,0.00,0.00,1018.6,875.4,26,0.58,5.6,345,18.7
2022-01-01T11:00,12.4,81,9.2,0.00,0.00,1018.9,874.8,20,0.28,3.9,338,15.5
2022-01-01T12:00,11.7,72,6.9,0.00,0.00,1019.8,875.3,0,0.38,3.3,276,8.6
2022-01-01T13:00,11.3,72,6.4,0.00,0.00,1020.7,875.8,18,0.37,1.5,194,8.6
2022-01-01T14:00,11.1,69,5.7,0.00,0.00,1021.2,876.2,2,0.41,1.4,180,5.0
2022-01-01T15:00,8.5,84,6.0,0.00,0.00,1021.7,875.4,0,0.18,3.6,174,6.8
2022-01-01T16:00,7.9,85,5.6,0.00,0.00,1021.7,875.1,0,0.16,2.9,173,7.6
2022-01-01T17:00,7.6,86,5.5,0.00,0.00,1021.2,874.6,0,0.14,2.5,172,7.9
2022-01-01T18:00,7.3,87,5.3,0.00,0.00,1020.9,874.2,0,0.13,2.2,171,8.3
2022-01-01T19:00,7.0,88,5.1,0.00,0.00,1020.4,873.6,0,0.12,2.5,172,9.4
2022-01-01T20:00,6.6,89,4.9,0.00,0.00,1019.8,872.9,0,0.11,2.9,173,10.8
2022-01-01T21:00,5.8,92,4.6,0.00,0.00,1019.6,872.3,4,0.08,3.6,174,11.5
